"","YEAR","Jan","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC"
"1",1951,1.29725517241379,1.38360344827586,1.95805172413793,1.2003,1.03562068965517,4.9091,10.8886310344828,12.2825413793103,8.09464827586207,1.89098620689655,0.999272413793103,0
"2",1952,0.921331034482759,1.70445862068965,2.00512413793103,0.973624137931035,1.11365172413793,6.10776551724138,10.0703517241379,12.6789586206897,6.37181379310345,0.925924137931035,0.736972413793103,0.454024137931035
"3",1953,2.31607586206897,1.32626206896552,0.433958620689655,1.03598275862069,0.718365517241379,4.84770689655172,13.6594827586207,12.3835310344828,6.9334275862069,0.916503448275862,0,0.993524137931035
"4",1954,1.54523448275862,1.76117931034483,1.03598620689655,0.555065517241379,0.719493103448276,3.8267275862069,11.9463034482759,11.909524137931,8.25519655172414,2.10028965517241,0.000775862068965517,0.177279310344828
"5",1955,2.1037,1.38497931034483,1.01488620689655,0.850510344827586,1.00111724137931,4.9695275862069,14.9706517241379,11.2852655172414,7.11491379310345,3.57505172413793,0.0244068965517241,0.941158620689655
"6",1956,1.8144,1.25288275862069,1.15837931034483,0.668813793103448,1.11896896551724,6.00890689655172,11.4423310344828,11.9006931034483,8.99584137931034,3.77321724137931,1.33055862068965,1.34202413793103
"7",1957,1.56881379310345,0.822265517241379,2.09165517241379,1.20957931034483,0.999251724137931,4.37435517241379,12.3246413793103,11.7902137931035,6.56719655172414,0.88818275862069,0.795348275862069,1.11723448275862
"8",1958,1.68085172413793,1.04795172413793,1.82063448275862,0.960755172413793,0.521503448275862,3.96094827586207,11.5991827586207,12.6018206896552,7.07577931034483,2.86789310344828,0.593931034482759,1.02036206896552
"9",1959,2.72252413793103,1.00125862068965,0.447689655172414,0.566275862068966,2.06293103448276,3.08704482758621,10.6824137931034,12.7797965517241,6.56820344827586,3.76846551724138,0.852206896551724,0
"10",1960,1.32863793103448,0.025751724137931,1.42641034482759,1.00111034482759,0.918693103448276,3.55785862068966,12.7496482758621,14.6457896551724,6.39779310344828,2.70732068965517,0,0.4636
"11",1961,1.84849310344828,1.64491724137931,0.0481758620689655,0.595251724137931,1.00604137931034,4.54364137931034,11.5066275862069,14.0812310344828,8.31263793103448,3.04526551724138,1.04030344827586,1.10865862068966
"12",1962,1.73735517241379,1.29786896551724,1.11691724137931,1.22814482758621,1.00092068965517,3.42995172413793,11.6047482758621,12.690224137931,10.0019620689655,0.628979310344828,0.759213793103448,1.30173448275862
"13",1963,1.42041034482759,1.11142413793103,1.75670689655172,1.2440724137931,1.59255172413793,4.71781034482759,13.3740620689655,13.0083586206897,8.72560689655172,1.6458724137931,1.04944827586207,1.02114137931034
"14",1964,0.660768965517241,1.08281034482759,1.02309310344828,1.03146896551724,1.3487275862069,3.27901034482759,13.6224206896552,12.1814586206897,8.01014137931034,1.36916551724138,0.150744827586207,0.717279310344827
"15",1965,1.01698275862069,0.96121724137931,1.38665172413793,1.44106896551724,1.00676896551724,2.37813448275862,11.0276724137931,9.15831034482759,5.71165172413793,2.06193103448276,0.661996551724138,0.956144827586207
"16",1966,1.32503103448276,1.34901379310345,0.175551724137931,0.0340896551724138,0.88211724137931,6.22095862068966,8.8448,10.0878034482759,4.02288965517241,1.00687931034483,1.34889655172414,1.26358965517241
"17",1967,0.931079310344828,0.404127586206897,2.03945517241379,1.02221724137931,0.850124137931034,3.39562068965517,11.6782896551724,16.2143620689655,7.7256,0.942551724137931,0.664586206896552,2.26690344827586
"18",1968,2.09347931034483,1.10477931034483,1.03177931034483,0.784151724137931,0.6491,4.12259655172414,11.1546206896552,9.91835172413793,5.03366896551724,2.20272068965517,0.0548206896551724,1.00683793103448
"19",1969,1.14826551724138,1.04370344827586,0.796251724137931,0.898872413793104,1.8751724137931,3.04111034482759,14.5811068965517,11.4734586206897,7.89446551724138,0.838958620689655,1.15056896551724,0
"20",1970,1.88930344827586,2.46498620689655,0.997058620689655,0.396437931034483,1.90817586206897,5.33798965517241,11.4877620689655,12.0400413793103,10.1935620689655,1.96325172413793,0.127151724137931,0
"21",1971,1.30300344827586,1.27554482758621,1.01024137931035,1.3674275862069,2.20308620689655,6.87514482758621,11.0059448275862,14.0545586206897,7.48238965517241,3.68959310344828,0.67808275862069,7.93103448275862e-05
"22",1972,1.58372068965517,2.17131724137931,0.770106896551724,1.04946206896552,0.724620689655173,2.32619655172414,8.5476724137931,12.3946965517241,7.38109310344828,3.50928965517241,1.21246551724138,0.373379310344828
"23",1973,1.44752068965517,1.06563103448276,0.831093103448276,0.462044827586207,0.942768965517241,3.46793103448276,12.0935379310345,14.4538379310345,7.6217275862069,3.48201379310345,0.565875862068966,0.0843344827586207
"24",1974,0.93728275862069,0.843134482758621,0.621668965517242,0.588055172413793,1.06788965517241,3.54985517241379,13.0583482758621,10.1128862068966,4.70551379310345,1.77285517241379,0.613272413793103,0.826696551724138
"25",1975,1.5633275862069,1.2406724137931,1.42753793103448,1.03907931034483,0.822165517241379,5.50128620689655,12.2500655172414,10.6473275862069,8.11213793103448,2.13255517241379,0.0918068965517241,0
"26",1976,1.79974482758621,0.968720689655172,0.825993103448276,1.29964827586207,1.10231034482759,3.60923103448276,10.008424137931,10.9023517241379,9.27217931034483,0.804034482758621,0.884751724137931,0.0461310344827586
"27",1977,1.55876206896552,1.12908965517241,0.527586206896552,1.40989310344828,1.5595,4.80744482758621,13.3289344827586,10.0660896551724,6.73787586206896,2.72297586206897,1.01848965517241,1.32657586206897
